"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","microsoft.com","3,866,116","100"
"2","www.google.com","10,666,164","100"
"3","apple.com","4,281,293","100"
"4","youtube.com","16,545,428","99"
"5","www.blogger.com","23,130,095","99"
"6","support.google.com","3,952,242","99"
"7","docs.google.com","2,075,644","99"
"8","play.google.com","2,159,051","99"
"9","en.wikipedia.org","5,225,598","98"
"10","wordpress.org","8,987,934","98"
"11","adobe.com","2,898,020","98"
"12","sites.google.com","1,559,196","98"
"13","mozilla.org","1,796,888","98"
"14","accounts.google.com","2,518,115","98"
"15","plus.google.com","13,173,879","98"
"16","creativecommons.org","1,443,509","97"
"17","googleusercontent.com","2,060,755","97"
"18","github.com","1,721,933","97"
"19","drive.google.com","1,543,527","97"
"20","linkedin.com","8,019,285","97"
"21","vimeo.com","2,957,326","97"
"22","maps.google.com","4,326,760","97"
"23","youtu.be","3,485,571","97"
"24","amazon.com","3,860,097","96"
"25","bbc.co.uk","1,379,757","96"
"26","bp.blogspot.com","14,949,788","96"
"27","istockphoto.com","2,885,357","96"
"28","uol.com.br","522,349","96"
"29","vk.com","1,584,980","96"
"30","cloudflare.com","3,749,096","96"
"31","live.com","713,620","96"
"32","line.me","488,921","96"
"33","europa.eu","1,562,687","96"
"34","dailymotion.com","1,055,391","96"
"35","hugedomains.com","5,423,971","95"
"36","developers.google.com","832,814","95"
"37","forbes.com","861,546","95"
"38","photos.google.com","221,497","95"
"39","msn.com","965,557","95"
"40","imdb.com","1,207,606","95"
"41","theguardian.com","1,141,088","95"
"42","news.google.com","649,060","95"
"43","wikimedia.org","1,295,357","95"
"44","google.de","1,096,434","95"
"45","feedburner.com","1,720,303","95"
"46","opera.com","700,843","95"
"47","google.co.jp","624,442","95"
"48","bbc.com","599,094","95"
"49","cnn.com","1,161,107","95"
"50","facebook.com","43,749,169","95"
"51","es.wikipedia.org","727,873","95"
"52","google.es","402,962","95"
"53","networkadvertising.org","741,074","95"
"54","www.yahoo.com","898,385","95"
"55","google.com.br","259,673","95"
"56","t.me","380,101","95"
"57","dropbox.com","891,710","95"
"58","medium.com","980,759","95"
"59","mail.google.com","405,300","95"
"60","globo.com","368,727","95"
"61","w3.org","1,008,176","95"
"62","pt.wikipedia.org","342,173","95"
"63","whatsapp.com","1,144,531","95"
"64","fr.wikipedia.org","498,195","95"
"65","google.co.uk","553,094","95"
"66","mail.ru","484,371","95"
"67","nytimes.com","1,610,771","95"
"68","washingtonpost.com","823,803","95"
"69","slideshare.net","834,935","95"
"70","amazon.co.jp","739,099","95"
"71","reuters.com","691,837","95"
"72","paypal.com","844,652","95"
"73","nih.gov","960,125","95"
"74","myspace.com","1,275,811","95"
"75","gstatic.com","552,766","95"
"76","mediafire.com","734,139","95"
"77","android.com","251,068","94"
"78","huffingtonpost.com","890,729","94"
"79","files.wordpress.com","1,923,439","94"
"80","hp.com","371,379","94"
"81","rt.com","221,435","94"
"82","techcrunch.com","368,370","94"
"83","foxnews.com","432,329","94"
"84","translate.google.com","264,655","94"
"85","ebay.com","885,295","94"
"86","soundcloud.com","1,496,233","94"
"87","aliexpress.com","433,965","94"
"88","telegram.me","244,137","94"
"89","thesun.co.uk","234,842","94"
"90","booking.com","342,378","94"
"91","aboutads.info","471,074","94"
"92","samsung.com","287,429","94"
"93","wsj.com","780,536","94"
"94","amazon.de","475,082","94"
"95","nasa.gov","518,906","94"
"96","hatena.ne.jp","1,400,140","94"
"97","buydomains.com","1,219,392","94"
"98","tools.google.com","1,422,724","94"
"99","rakuten.co.jp","565,558","94"
"100","harvard.edu","534,898","94"
"101","ft.com","324,696","94"
"102","independent.co.uk","495,315","94"
"103","marketingplatform.google.com","715,404","94"
"104","draft.blogger.com","5,416,718","94"
"105","archive.org","805,369","94"
"106","telegraph.co.uk","756,068","94"
"107","youronlinechoices.com","517,618","94"
"108","dailymail.co.uk","754,977","94"
"109","pinterest.com","6,631,898","94"
"110","plesk.com","606,008","94"
"111","apache.org","732,458","94"
"112","bing.com","821,591","94"
"113","abril.com.br","219,713","94"
"114","ipv4.google.com","364,572","94"
"115","oracle.com","483,325","94"
"116","amazon.co.uk","613,992","94"
"117","tinyurl.com","1,172,240","94"
"118","google.fr","380,537","94"
"119","books.google.com","329,045","94"
"120","twitter.com","47,052,538","94"
"121","elpais.com","306,802","94"
"122","abcnews.go.com","454,777","94"
"123","google.it","405,453","94"
"124","wikia.com","470,398","94"
"125","ok.ru","311,960","94"
"126","fandom.com","400,744","94"
"127","picasaweb.google.com","625,434","94"
"128","cpanel.net","1,070,636","94"
"129","steampowered.com","196,190","94"
"130","code.google.com","309,626","94"
"131","bit.ly","3,629,077","94"
"132","scribd.com","606,919","94"
"133","usatoday.com","607,068","94"
"134","aol.com","631,525","94"
"135","engadget.com","390,999","94"
"136","ted.com","447,192","94"
"137","fb.com","302,047","94"
"138","lefigaro.fr","165,917","94"
"139","www.wix.com","836,931","94"
"140","change.org","356,046","94"
"141","myaccount.google.com","230,073","94"
"142","wired.com","514,857","94"
"143","terra.com.br","184,744","94"
"144","www.gov.uk","436,175","94"
"145","gnu.org","530,571","94"
"146","nypost.com","258,049","94"
"147","playstation.com","164,295","94"
"148","un.org","383,983","94"
"149","goo.gl","4,076,656","94"
"150","news.yahoo.com","554,856","94"
"151","get.google.com","366,636","94"
"152","google.ru","176,068","94"
"153","bloomberg.com","629,302","94"
"154","cnet.com","523,287","94"
"155","de.wikipedia.org","575,903","94"
"156","policies.google.com","916,309","94"
"157","issuu.com","794,780","94"
"158","groups.google.com","296,612","94"
"159","webmd.com","477,473","93"
"160","nature.com","398,481","93"
"161","cnbc.com","350,644","93"
"162","economist.com","289,226","93"
"163","ig.com.br","129,145","93"
"164","ovh.net","681,116","93"
"165","lycos.com","693,185","93"
"166","gamespot.com","166,111","93"
"167","photos1.blogger.com","797,541","93"
"168","secureserver.net","811,733","93"
"169","godaddy.com","2,468,122","93"
"170","spotify.com","980,753","93"
"171","qq.com","3,858,718","93"
"172","huffpost.com","386,235","93"
"173","ovh.co.uk","532,689","93"
"174","ikea.com","250,499","93"
"175","twitch.tv","250,744","93"
"176","ovh.com","361,741","93"
"177","rapidshare.com","276,923","93"
"178","xbox.com","128,610","93"
"179","nokia.com","153,304","93"
"180","cbc.ca","331,927","93"
"181","newsweek.com","228,781","93"
"182","who.int","375,681","93"
"183","noaa.gov","271,436","93"
"184","ea.com","148,677","93"
"185","bp0.blogger.com","508,765","93"
"186","guardian.co.uk","521,896","93"
"187","ietf.org","296,227","93"
"188","nhk.or.jp","187,999","93"
"189","espn.com","271,162","93"
"190","ria.ru","153,713","93"
"191","dell.com","200,907","93"
"192","cambridge.org","191,881","93"
"193","mozilla.com","194,278","93"
"194","bp2.blogger.com","509,169","93"
"195","so-net.ne.jp","174,481","93"
"196","shopify.com","930,829","93"
"197","hm.com","147,905","93"
"198","rottentomatoes.com","190,402","93"
"199","google.co.in","190,767","93"
"200","lemonde.fr","210,542","93"
"201","photobucket.com","1,593,953","93"
"202","allaboutcookies.org","348,748","93"
"203","alibaba.com","352,276","93"
"204","rtve.es","134,341","93"
"205","addthis.com","720,357","93"
"206","blackberry.com","133,703","93"
"207","fb.me","218,132","93"
"208","windowsphone.com","123,172","93"
"209","sendspace.com","144,588","93"
"210","imageshack.us","785,478","93"
"211","buzzfeed.com","433,334","93"
"212","amazon.es","127,917","93"
"213","weibo.com","1,409,778","93"
"214","nginx.org","333,367","93"
"215","sedo.com","1,802,726","93"
"216","instructables.com","256,856","93"
"217","google.ca","291,077","93"
"218","oup.com","271,532","93"
"219","mega.nz","134,476","93"
"220","t.co","1,611,761","93"
"221","usnews.com","303,581","93"
"222","a8.net","396,823","93"
"223","google.pl","205,723","93"
"224","gizmodo.com","334,415","93"
"225","mit.edu","529,314","93"
"226","psychologytoday.com","245,538","93"
"227","finance.yahoo.com","344,035","93"
"228","cbsnews.com","408,133","93"
"229","quora.com","280,324","93"
"230","sciencemag.org","230,761","93"
"231","businessinsider.com","528,779","93"
"232","britannica.com","235,859","93"
"233","sciencedirect.com","367,975","93"
"234","bp3.blogger.com","509,110","93"
"235","google.co.id","124,225","93"
"236","time.com","603,564","93"
"237","picasa.google.com","240,190","93"
"238","pl.wikipedia.org","126,021","93"
"239","themeforest.net","450,453","93"
"240","ru.wikipedia.org","357,987","93"
"241","yahoo.co.jp","601,086","93"
"242","list-manage.com","570,228","93"
"243","ask.fm","234,583","93"
"244","pbs.org","402,356","93"
"245","sky.com","170,942","93"
"246","bitly.com","279,922","93"
"247","venturebeat.com","161,149","93"
"248","surveymonkey.com","365,784","93"
"249","google.com.tw","120,687","93"
"250","bund.de","463,149","93"
"251","vox.com","439,617","93"
"252","viglink.com","264,708","93"
"253","netflix.com","208,834","93"
"254","metro.co.uk","161,617","93"
"255","spiegel.de","253,509","93"
"256","www.over-blog.com","239,578","93"
"257","cdc.gov","474,444","93"
"258","stackoverflow.com","245,595","93"
"259","000webhost.com","323,312","93"
"260","id.wikipedia.org","366,393","93"
"261","asus.com","130,960","93"
"262","corriere.it","132,620","93"
"263","yelp.com","766,642","93"
"264","theglobeandmail.com","211,466","93"
"265","ox.ac.uk","200,317","93"
"266","sciencedaily.com","266,567","93"
"267","npr.org","557,185","93"
"268","yadi.sk","166,594","93"
"269","amazon.fr","208,273","93"
"270","search.yahoo.com","361,511","93"
"271","addtoany.com","664,727","93"
"272","xinhuanet.com","551,487","93"
"273","php.net","561,481","93"
"274","theverge.com","269,512","93"
"275","intel.com","217,335","93"
"276","about.com","672,890","93"
"277","kickstarter.com","398,281","93"
"278","wp.com","893,737","93"
"279","doubleclick.net","678,303","93"
"280","rambler.ru","246,477","93"
"281","goodreads.com","608,280","93"
"282","mysql.com","355,892","93"
"283","fastcompany.com","236,867","93"
"284","4shared.com","490,388","93"
"285","loc.gov","330,029","93"
"286","gmail.com","173,314","93"
"287","depositfiles.com","138,497","93"
"288","columbia.edu","261,737","93"
"289","stanford.edu","482,990","93"
"290","smh.com.au","251,681","93"
"291","naver.jp","123,460","93"
"292","disqus.com","916,700","93"
"293","cornell.edu","351,270","93"
"294","news.com.au","245,404","93"
"295","worldbank.org","187,209","93"
"296","iubenda.com","163,156","93"
"297","dw.com","197,053","93"
"298","digg.com","806,838","93"
"299","whitehouse.gov","298,426","93"
"300","gofundme.com","222,336","93"
"301","instagram.com","18,641,036","93"
"302","thetimes.co.uk","282,709","93"
"303","adssettings.google.com","266,175","93"
"304","parallels.com","581,004","93"
"305","mashable.com","337,892","93"
"306","yandex.ru","927,246","93"
"307","dan.com","1,097,568","93"
"308","repubblica.it","162,105","93"
"309","target.com","216,810","93"
"310","m.wikipedia.org","200,279","93"
"311","indiatimes.com","310,956","93"
"312","thestar.com","178,823","93"
"313","google.nl","212,189","93"
"314","nydailynews.com","294,113","93"
"315","wikihow.com","320,900","93"
"316","unesco.org","236,388","93"
"317","my.yahoo.com","1,101,374","93"
"318","nationalgeographic.com","507,294","93"
"319","pixabay.com","234,455","93"
"320","cpanel.com","992,039","93"
"321","netvibes.com","1,116,917","93"
"322","office.com","292,186","93"
"323","ggpht.com","552,144","93"
"324","googleblog.com","201,004","93"
"325","akamaihd.net","395,991","93"
"326","academia.edu","263,003","93"
"327","privacyshield.gov","389,313","93"
"328","princeton.edu","251,102","93"
"329","orange.fr","157,810","93"
"330","bt.com","150,606","93"
"331","bandcamp.com","489,007","93"
"332","nvidia.com","127,286","93"
"333","it.wikipedia.org","272,742","93"
"334","goo.ne.jp","293,659","93"
"335","urbandictionary.com","199,297","93"
"336","vice.com","279,800","93"
"337","gravatar.com","1,535,716","93"
"338","namecheap.com","350,427","93"
"339","cisco.com","194,887","93"
"340","elmundo.es","183,709","93"
"341","naver.com","379,207","93"
"342","welt.de","152,063","93"
"343","walmart.com","249,643","93"
"344","ytimg.com","214,598","93"
"345","ign.com","223,347","93"
"346","tripadvisor.com","430,755","93"
"347","abc.net.au","304,885","93"
"348","theatlantic.com","398,212","93"
"349","express.co.uk","186,181","93"
"350","search.google.com","696,382","93"
"351","latimes.com","556,329","93"
"352","utexas.edu","221,690","93"
"353","zdnet.com","230,042","93"
"354","disney.com","168,704","93"
"355","ja.wikipedia.org","312,047","93"
"356","e-recht24.de","438,213","93"
"357","zendesk.com","363,472","93"
"358","chicagotribune.com","284,574","93"
"359","ibm.com","423,480","93"
"360","mirror.co.uk","243,880","93"
"361","berkeley.edu","362,864","93"
"362","channel4.com","140,402","93"
"363","www.wikipedia.org","478,184","93"
"364","yale.edu","260,309","93"
"365","biglobe.ne.jp","220,680","93"
"366","abc.es","150,353","93"
"367","gooyaabitemplates.com","218,500","93"
"368","eventbrite.com","526,269","93"
"369","umich.edu","281,371","93"
"370","www.weebly.com","299,805","93"
"371","wa.me","185,287","93"
"372","shutterstock.com","216,435","93"
"373","box.com","219,548","93"
"374","sapo.pt","206,193","93"
"375","hollywoodreporter.com","204,616","93"
"376","inc.com","190,426","92"
"377","calendar.google.com","140,801","92"
"378","launchpad.net","162,396","92"
"379","clickbank.net","382,969","92"
"380","sports.yahoo.com","166,865","92"
"381","howstuffworks.com","246,075","92"
"382","fortune.com","204,628","92"
"383","youku.com","413,015","92"
"384","jstor.org","136,975","92"
"385","storify.com","248,304","92"
"386","newscientist.com","181,252","92"
"387","mercurynews.com","150,183","92"
"388","arstechnica.com","203,301","92"
"389","ustream.tv","250,705","92"
"390","trustpilot.com","271,182","92"
"391","bp1.blogger.com","509,220","92"
"392","quantcast.com","308,721","92"
"393","standard.co.uk","133,154","92"
"394","wattpad.com","173,163","92"
"395","pastebin.com","158,321","92"
"396","cbslocal.com","259,001","92"
"397","gesetze-im-internet.de","127,061","92"
"398","apachefriends.org","187,576","92"
"399","newyorker.com","301,164","92"
"400","groups.yahoo.com","308,159","92"
"401","sina.com.cn","1,030,157","92"
"402","marriott.com","272,879","92"
"403","liveinternet.ru","258,263","92"
"404","ftc.gov","200,504","92"
"405","sfgate.com","310,149","92"
"406","entrepreneur.com","201,253","92"
"407","alexa.com","272,670","92"
"408","politico.com","189,877","92"
"409","ehow.com","226,288","92"
"410","last.fm","333,852","92"
"411","boston.com","272,738","92"
"412","ssl-images-amazon.com","132,098","92"
"413","www.livejournal.com","2,397,621","92"
"414","cocolog-nifty.com","177,646","92"
"415","xing.com","389,438","92"
"416","chinadaily.com.cn","235,189","92"
"417","ca.gov","346,741","92"
"418","zippyshare.com","142,074","92"
"419","airbnb.com","150,941","92"
"420","nba.com","167,591","92"
"421","slate.com","296,979","92"
"422","scmp.com","120,974","92"
"423","ieee.org","171,456","92"
"424","thenextweb.com","160,041","92"
"425","state.gov","246,784","92"
"426","vkontakte.ru","393,901","92"
"427","discovery.com","215,849","92"
"428","biblegateway.com","197,660","92"
"429","plos.org","199,791","92"
"430","www.skyrock.com","10,743,508","92"
"431","fda.gov","253,593","92"
"432","variety.com","186,237","92"
"433","indiegogo.com","203,641","92"
"434","scientificamerican.com","230,310","92"
"435","mlb.com","196,033","92"
"436","sputniknews.com","127,516","92"
"437","washington.edu","278,937","92"
"438","researchgate.net","263,317","92"
"439","ap.org","175,136","92"
"440","ibtimes.com","151,182","92"
"441","weather.com","211,263","92"
"442","nicovideo.jp","132,247","92"
"443","skype.com","326,101","92"
"444","mail.yahoo.com","164,464","92"
"445","fool.com","121,141","92"
"446","lonelyplanet.com","144,020","92"
"447","csmonitor.com","164,069","92"
"448","connect.over-blog.com","221,832","92"
"449","video.google.com","204,396","92"
"450","about.me","262,324","92"
"451","geocities.jp","251,610","92"
"452","xfinity.com","121,087","92"
"453","allrecipes.com","143,623","92"
"454","jquery.com","147,658","92"
"455","uiuc.edu","173,536","92"
"456","soratemplates.com","155,261","92"
"457","steamcommunity.com","171,339","92"
"458","espn.go.com","225,072","92"
"459","evernote.com","245,887","92"
"460","histats.com","452,911","92"
"461","mixcloud.com","153,019","92"
"462","seattletimes.com","175,831","92"
"463","odnoklassniki.ru","120,743","92"
"464","feedproxy.google.com","747,016","92"
"465","wisc.edu","233,959","92"
"466","adweek.com","154,087","92"
"467","axs.com","219,812","92"
"468","greenpeace.org","142,751","92"
"469","siemens.com","180,080","92"
"470","offset.com","542,163","92"
"471","usgs.gov","186,784","92"
"472","dribbble.com","337,414","92"
"473","wiley.com","392,637","92"
"474","archives.gov","206,358","92"
"475","home.neustar","313,593","92"
"476","tabelog.com","134,466","92"
"477","eff.org","126,709","92"
"478","amazon.ca","166,179","92"
"479","answers.com","206,262","92"
"480","storage.canalblog.com","267,516","92"
"481","daum.net","149,898","92"
"482","merriam-webster.com","214,364","92"
"483","answers.yahoo.com","183,089","92"
"484","thedailybeast.com","192,679","92"
"485","detik.com","334,885","92"
"486","netsons.com","300,243","92"
"487","storage.googleapis.com","337,753","92"
"488","fifa.com","136,901","92"
"489","narod.ru","283,584","92"
"490","aljazeera.com","187,207","92"
"491","gen.xyz","1,811,722","92"
"492","web.fc2.com","236,504","92"
"493","prezi.com","205,251","92"
"494","megaupload.com","239,785","92"
"495","nginx.com","251,838","92"
"496","t-online.de","148,952","92"
"497","usa.gov","159,442","92"
"498","livescience.com","199,230","92"
"499","disney.go.com","159,111","92"
"500","ndtv.com","139,035","92"
